location,datetime,avg_pm25
New Delhi-8118,2025-04-06T20:30:00.000Z,86.0
New Delhi-8118,2025-04-06T10:30:00.000Z,28.0
New Delhi-8118,2025-04-06T07:30:00.000Z,59.0
New Delhi-8118,2025-04-05T23:30:00.000Z,174.0
New Delhi-8118,2025-04-06T21:30:00.000Z,90.0
New Delhi-8118,2025-04-06T11:30:00.000Z,26.0
New Delhi-8118,2025-04-05T20:30:00.000Z,107.0
New Delhi-8118,2025-04-06T08:30:00.000Z,45.0
New Delhi-8118,2025-04-06T12:30:00.000Z,22.0
New Delhi-8118,2025-04-06T09:30:00.000Z,36.0
New Delhi-8118,2025-04-06T03:30:00.000Z,86.0
New Delhi-8118,2025-04-06T05:30:00.000Z,64.0
New Delhi-8118,2025-04-05T22:30:00.000Z,147.0
New Delhi-8118,2025-04-06T18:30:00.000Z,73.0
New Delhi-8118,2025-04-06T19:30:00.000Z,74.0
New Delhi-8118,2025-04-06T14:30:00.000Z,53.0
New Delhi-8118,2025-04-06T01:30:00.000Z,109.0
